2025-04-29 07:36:13,441 - INFO - 2025-04-29 07:36:13.441891: Status da tarefa bpa: completed
2025-04-29 07:36:59,526 - INFO - ✅ CEP 07405450 atualizado: Gaivota, Jardim Pinheiro (IBGE: 350390)
2025-04-29 07:36:59,768 - INFO - ✅ CEP 07434315 atualizado: Plínio Salgado Santangelo, Vila Pedroso (IBGE: 350390)
2025-04-29 07:37:00,031 - INFO - ✅ CEP 07431305 atualizado: Cristal, Jardim Jóia (IBGE: 350390)
2025-04-29 07:37:00,309 - INFO - ✅ CEP 07074001 atualizado: Florinda Rosa Teixeira, Vila Rosália (IBGE: 351880)
2025-04-29 07:37:00,571 - INFO - ✅ CEP 07438620 atualizado: Benedito do Prado, Cachoeira (IBGE: 350390)
2025-04-29 07:37:00,807 - INFO - ✅ CEP 07404095 atualizado: Serra do Jari, Mirante Do Arujá (IBGE: 350390)
2025-04-29 07:37:01,154 - INFO - ✅ CEP 07404165 atualizado: dos Fernandes, Mirante do Arujá (IBGE: 350390)
2025-04-29 07:37:01,380 - INFO - ✅ CEP 07428315 atualizado: Rubelita, Jardim Fazenda Rincão (IBGE: 350390)
2025-04-29 07:37:01,752 - INFO - ✅ CEP 07405310 atualizado: José Rodrigues Barbosa, Pedra Fala (IBGE: 350390)
2025-04-29 07:37:02,015 - INFO - ✅ CEP 07401775 atualizado: Expedicionário Carmelino de Jesus, Vila Pilar (IBGE: 350390)
2025-04-29 07:37:02,266 - INFO - ✅ CEP 07402295 atualizado: Marina de Lima Santangelo, Chácara São José (IBGE: 350390)
2025-04-29 07:37:02,523 - INFO - ✅ CEP 08585025 atualizado: Lucas Garcez, Jardim Morada Feliz (IBGE: 352310)
2025-04-29 07:37:03,925 - INFO - ✅ CEP 07462365 atualizado para 07411365: Santa Cecília, Cidade Nova Arujá (IBGE: 350390)
2025-04-29 07:37:04,188 - INFO - ✅ CEP 07404090 atualizado: Serra do Jaire, Mirante Do Arujá (IBGE: 350390)
2025-04-29 07:37:04,581 - INFO - ✅ CEP 07428100 atualizado: Água Marinha, Arujá 5 (IBGE: 350390)
2025-04-29 07:37:06,589 - INFO - ✅ CEP 07432690 atualizado: Yoshi Sasaoka, Sítio Dos Fernandes (IBGE: 350390)
2025-04-29 07:37:07,420 - INFO - ✅ CEP 07417185 atualizado: Luiz Paulo Colangelo Nóbrega, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:07,710 - INFO - ✅ CEP 07439040 atualizado: Antimônio, Chácaras Copaco (IBGE: 350390)
2025-04-29 07:37:07,989 - INFO - ✅ CEP 07417180 atualizado: José Cícero Soares, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:08,238 - INFO - ✅ CEP 07417430 atualizado: José de Lima, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:08,530 - INFO - ✅ CEP 07439135 atualizado: Coque, Chácaras Copaco (IBGE: 350390)
2025-04-29 07:37:08,779 - INFO - ✅ CEP 07435270 atualizado: das Castanheiras, Arujá Country Club (IBGE: 350390)
2025-04-29 07:37:09,022 - INFO - ✅ CEP 07417415 atualizado: Alfredo Antonio Fernandes, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:09,260 - INFO - ✅ CEP 07432080 atualizado: Haroldo, Jardim Emília (IBGE: 350390)
2025-04-29 07:37:09,612 - INFO - ✅ CEP 07432050 atualizado: Dutra, Jardim Emília (IBGE: 350390)
2025-04-29 07:37:09,858 - INFO - ✅ CEP 07400330 atualizado: Vereador Antonio Frau, Convívio Residencial Santana (IBGE: 350390)
2025-04-29 07:37:10,095 - INFO - ✅ CEP 07439045 atualizado: Petróleo, Chácaras Copaco (IBGE: 350390)
2025-04-29 07:37:10,447 - INFO - ✅ CEP 07400490 atualizado: dos Expedicionários, Vila Flora Regina (IBGE: 350390)
2025-04-29 07:37:10,793 - INFO - ✅ CEP 07401070 atualizado: Armando Colangelo, Arujá Center Ville (IBGE: 350390)
2025-04-29 07:37:11,056 - INFO - ✅ CEP 07439130 atualizado: Estanho, Chácaras Copaco (IBGE: 350390)
2025-04-29 07:37:11,299 - INFO - ✅ CEP 07414425 atualizado: Benvinda Oliveira Magalhães, Chácaras Colinas Verdes (IBGE: 350390)
2025-04-29 07:37:12,700 - INFO - ✅ CEP 07204805 atualizado para 07402805: Real, Jardim Real (IBGE: 350390)
2025-04-29 07:37:12,896 - INFO - ✅ CEP 07400250 atualizado: Hercélio Mattos de Oliveira, Jardim Albino Neves (IBGE: 350390)
2025-04-29 07:37:13,140 - INFO - ✅ CEP 07414790 atualizado: Municipal Espigonal, Fontes (IBGE: 350390)
2025-04-29 07:37:16,012 - INFO - ✅ CEP 07414555 atualizado para 07417555: Benedito Barbosa de Souza, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:16,203 - INFO - ✅ CEP 07417200 atualizado: Deolinda Rosa dos Santos, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:16,408 - INFO - ✅ CEP 07414180 atualizado: Michio Hatakeyama, Jardim Nippon Club (IBGE: 350390)
2025-04-29 07:37:17,736 - INFO - ✅ CEP 74030000 atualizado para 07403000: Hans Ossamu Suzuki, Arujamérica (IBGE: 350390)
2025-04-29 07:37:17,931 - INFO - ✅ CEP 07428205 atualizado: Benedito Manoel dos Santos, Arujá 5 (IBGE: 350390)
2025-04-29 07:37:18,121 - INFO - ✅ CEP 07417265 atualizado: Railda Alves de Oliveira, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:18,327 - INFO - ✅ CEP 07417495 atualizado: Antonio Pinheiro, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:18,559 - INFO - ✅ CEP 07401300 atualizado: General Porfírio da Paz, Jardim Modelo (IBGE: 350390)
2025-04-29 07:37:18,747 - INFO - ✅ CEP 08590390 atualizado: Matinhos, Jardim Josely (IBGE: 352310)
2025-04-29 07:37:18,977 - INFO - ✅ CEP 07432670 atualizado: Tomi Miura, Sítio Dos Fernandes (IBGE: 350390)
2025-04-29 07:37:19,200 - INFO - ✅ CEP 07402280 atualizado: Rio de Janeiro, Chácara São José (IBGE: 350390)
2025-04-29 07:37:19,417 - INFO - ✅ CEP 07400505 atualizado: José Basílio Alvarenga, Vila Flora Regina (IBGE: 350390)
2025-04-29 07:37:19,621 - INFO - ✅ CEP 07417345 atualizado: José Claudio dos Santos Filho, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:19,855 - INFO - ✅ CEP 07411650 atualizado: Londres, Centro Industrial De Arujá (IBGE: 350390)
2025-04-29 07:37:20,096 - INFO - ✅ CEP 07403005 atualizado: Theófilo Ramos de Andrade, Arujamérica (IBGE: 350390)
2025-04-29 07:37:20,439 - INFO - ✅ CEP 07403090 atualizado: Leocádio Mendonça, Arujamérica (IBGE: 350390)
2025-04-29 07:37:20,644 - INFO - ✅ CEP 07176710 atualizado: José de Souza Abrantes, Jardim Álamo (IBGE: 351880)
2025-04-29 07:37:20,890 - INFO - ✅ CEP 07403115 atualizado: José Menino Ribeiro, Arujamérica (IBGE: 350390)
2025-04-29 07:37:21,164 - INFO - ✅ CEP 07439025 atualizado: Gelna, Chácaras Copaco (IBGE: 350390)
2025-04-29 07:37:21,413 - INFO - ✅ CEP 07401345 atualizado: Armando Sales de Oliveira, Vila Riman (IBGE: 350390)
2025-04-29 07:37:21,654 - INFO - ✅ CEP 07402190 atualizado: São Paulo, Jardim Planalto (IBGE: 350390)
2025-04-29 07:37:21,874 - INFO - ✅ CEP 07196030 atualizado: João Romano, Vila Flórida (IBGE: 351880)
2025-04-29 07:37:23,167 - INFO - ✅ CEP 07454975 atualizado para 07411195: Adília Barbosa Neves, Jordanópolis (IBGE: 350390)
2025-04-29 07:37:23,466 - INFO - ✅ CEP 08570970 atualizado: Padre João Álvares 181/183, Centro (IBGE: 352310)
2025-04-29 07:37:23,692 - INFO - ✅ CEP 07401335 atualizado: Lucas Nogueira Garcez, Vila Riman (IBGE: 350390)
2025-04-29 07:37:23,908 - INFO - ✅ CEP 07404130 atualizado: Serra do Gil, Mirante Do Arujá (IBGE: 350390)
2025-04-29 07:37:24,116 - INFO - ✅ CEP 07405445 atualizado: Andorinha, Jardim Pinheiro (IBGE: 350390)
2025-04-29 07:37:24,345 - INFO - ✅ CEP 07437090 atualizado: das Figueiras, Parque Dos Arantes (IBGE: 350390)
2025-04-29 07:37:25,696 - INFO - ✅ CEP 07407010 atualizado para 07404020: dos Fernandes, Mirante do Arujá (IBGE: 350390)
2025-04-29 07:37:25,887 - INFO - ✅ CEP 08590380 atualizado: Paiçandu, Jardim Josely (IBGE: 352310)
2025-04-29 07:37:27,210 - INFO - ✅ CEP 16642535 atualizado para 07411165: São Judas Tadeu, Jordanópolis (IBGE: 350390)
2025-04-29 07:37:27,469 - INFO - ✅ CEP 07432055 atualizado: Clementina, Jardim Emília (IBGE: 350390)
2025-04-29 07:37:27,686 - INFO - ✅ CEP 07417550 atualizado: Terezinha de Jesus Monteiro de Castro, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:27,887 - INFO - ✅ CEP 07400420 atualizado: Bogotá, Jardim Rincão (IBGE: 350390)
2025-04-29 07:37:29,289 - INFO - ✅ CEP 07470040 atualizado para 07407040: Airton dos Santos Heras Galvez, Jardim Santo Antônio (IBGE: 350390)
2025-04-29 07:37:30,638 - INFO - ✅ CEP 04717580 atualizado para 07417290: Sebastião Martins Guimarães, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:30,984 - INFO - ✅ CEP 07417305 atualizado: Armando Colangelo, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:31,211 - INFO - ✅ CEP 07400400 atualizado: Assunção, Jardim Rincão (IBGE: 350390)
2025-04-29 07:37:31,534 - INFO - ✅ CEP 07400165 atualizado: Major Benjamin Franco, Jardim Vitória (IBGE: 350390)
2025-04-29 07:37:31,764 - INFO - ✅ CEP 07404155 atualizado: Serra de Itaberaba, Mirante Do Arujá (IBGE: 350390)
2025-04-29 07:37:31,965 - INFO - ✅ CEP 07175350 atualizado: Victor Graeff, Jardim Do Triunfo (IBGE: 351880)
2025-04-29 07:37:32,179 - INFO - ✅ CEP 08581430 atualizado: Quebrângulo, Jardim Viana (IBGE: 352310)
2025-04-29 07:37:32,412 - INFO - ✅ CEP 07401105 atualizado: Sergio Saleh Riman, Arujá Center Ville (IBGE: 350390)
2025-04-29 07:37:32,747 - INFO - ✅ CEP 08730660 atualizado: Jardelina de Almeida Lopes, Chácara Jafet (IBGE: 353060)
2025-04-29 07:37:32,937 - INFO - ✅ CEP 07411220 atualizado: Santo Antonio do Catigeró, Jordanópolis (IBGE: 350390)
2025-04-29 07:37:33,134 - INFO - ✅ CEP 07403100 atualizado: Donato Antonio de Camargo, Arujamérica (IBGE: 350390)
2025-04-29 07:37:33,382 - INFO - ✅ CEP 07400850 atualizado: Maria Gonçalves de Oliveira, Arujá Centro Residencial (IBGE: 350390)
2025-04-29 07:37:33,617 - INFO - ✅ CEP 07401720 atualizado: Iraci Pinto Ferreira Braz, Vila Pilar (IBGE: 350390)
2025-04-29 07:37:33,885 - INFO - ✅ CEP 07407375 atualizado: Paulo Antonio Barbosa, Jardim Arujá (IBGE: 350390)
2025-04-29 07:37:35,303 - INFO - ✅ CEP 07410001 atualizado para 07417185: Luiz Paulo Colangelo Nóbrega, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:35,604 - INFO - ✅ CEP 07417295 atualizado: Soldado Edson de Paula e Silva, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:35,888 - INFO - ✅ CEP 07417490 atualizado: Benedito Rodrigues do Prado, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:36,153 - INFO - ✅ CEP 07251180 atualizado: Atlas, Água Chata (IBGE: 351880)
2025-04-29 07:37:36,500 - INFO - ✅ CEP 07417390 atualizado: Vicente Antonio Nogueira, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:36,836 - INFO - ✅ CEP 07432675 atualizado: Tiaki Ogaçawara, Sítio Dos Fernandes (IBGE: 350390)
2025-04-29 07:37:38,370 - INFO - ✅ CEP 07455550 atualizado para 07402055: Braz Maiolino, Barbosas (IBGE: 350390)
2025-04-29 07:37:38,700 - INFO - ✅ CEP 07405425 atualizado: Rouxinol, Jardim Pinheiro (IBGE: 350390)
2025-04-29 07:37:40,140 - INFO - ✅ CEP 07045408 atualizado para 07405400: Tuím, Jardim Pinheiro (IBGE: 350390)
2025-04-29 07:37:40,465 - INFO - ✅ CEP 07417455 atualizado: Padre Atílio Garrone, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:40,845 - INFO - ✅ CEP 08590440 atualizado: Flórida, Jardim Josely (IBGE: 352310)
2025-04-29 07:37:41,176 - INFO - ✅ CEP 07400700 atualizado: Nair Ribeiro Maiolino, Arujá Centro Residencial (IBGE: 350390)
2025-04-29 07:37:41,489 - INFO - ✅ CEP 07428255 atualizado: Espinélio, Arujá 5 (IBGE: 350390)
2025-04-29 07:37:41,905 - INFO - ✅ CEP 07401075 atualizado: Armando Colangelo, Arujá Center Ville (IBGE: 350390)
2025-04-29 07:37:42,249 - INFO - ✅ CEP 07406370 atualizado: Pitta, Vila Arujá (IBGE: 350390)
2025-04-29 07:37:42,661 - INFO - ✅ CEP 07406275 atualizado: Vereador Albino Rodrigues Neves, Pedreira (IBGE: 350390)
2025-04-29 07:37:42,985 - INFO - ✅ CEP 08570770 atualizado: Bilac, Jardim Santa Helena (IBGE: 352310)
2025-04-29 07:37:43,312 - INFO - ✅ CEP 07436770 atualizado: Augustinho Palmezan, Jardim São Jorge (IBGE: 350390)
2025-04-29 07:37:43,659 - INFO - ✅ CEP 07411155 atualizado: Santa Terezinha, Jordanópolis (IBGE: 350390)
2025-04-29 07:37:45,239 - INFO - ✅ CEP 07421790 atualizado para 07417550: Terezinha de Jesus Monteiro de Castro, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:45,480 - INFO - ✅ CEP 07401725 atualizado: Durval Ferreira de Almeida, Vila Pilar (IBGE: 350390)
2025-04-29 07:37:46,929 - INFO - ✅ CEP 07430005 atualizado para 07443005: União Paulista, Jardim Josely (IBGE: 350390)
2025-04-29 07:37:47,176 - INFO - ✅ CEP 07440030 atualizado: Ipê, Chácaras Vista Alegre (IBGE: 350390)
2025-04-29 07:37:47,389 - INFO - ✅ CEP 07428015 atualizado: Maria Mãe dos Homens, Nossa Senhora Do Carmo (IBGE: 350390)
2025-04-29 07:37:47,652 - INFO - ✅ CEP 07417350 atualizado: Dalila Maria Joaquina Barbosa, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:48,031 - INFO - ✅ CEP 08598100 atualizado: de São Bento, Jardim Odete (IBGE: 352310)
2025-04-29 07:37:48,434 - INFO - ✅ CEP 08673020 atualizado: Sete de Setembro, Parque Suzano (IBGE: 355250)
2025-04-29 07:37:48,705 - INFO - ✅ CEP 07407360 atualizado: Braz Ferreira, Jardim Arujá (IBGE: 350390)
2025-04-29 07:37:50,144 - INFO - ✅ CEP 07443412 atualizado para 07434120: Benedito Antonio Ribeiro, Jardim Limoeiro (IBGE: 350390)
2025-04-29 07:37:50,412 - INFO - ✅ CEP 07439090 atualizado: Grafite, Chácaras Copaco (IBGE: 350390)
2025-04-29 07:37:50,703 - INFO - ✅ CEP 07440020 atualizado: do Cedro, Chácaras Vista Alegre (IBGE: 350390)
2025-04-29 07:37:52,132 - INFO - ✅ CEP 07417035 atualizado para 07437025: dos Pinheiros, Parque dos Jacarandás (IBGE: 350390)
2025-04-29 07:37:52,374 - INFO - ✅ CEP 08587810 atualizado: Rosa de Sharon, Parque Residencial Scaffid Ii (IBGE: 352310)
2025-04-29 07:37:52,642 - INFO - ✅ CEP 07434110 atualizado: Limoeiro, Jardim Limoeiro (IBGE: 350390)
2025-04-29 07:37:52,911 - INFO - ✅ CEP 07402870 atualizado: Cuiabá, Jardim Real (IBGE: 350390)
2025-04-29 07:37:53,214 - INFO - ✅ CEP 07435675 atualizado: Tupã, Arujázinho I, Ii E Iii (IBGE: 350390)
2025-04-29 07:37:53,460 - INFO - ✅ CEP 07417435 atualizado: Abdon Ferreira Silva, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:53,742 - INFO - ✅ CEP 07417135 atualizado: Maria Luiza Guimarães de Lima, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:37:54,042 - INFO - ✅ CEP 07428010 atualizado: do Nossa Senhora Carmo, Nossa Senhora Do Carmo (IBGE: 350390)
2025-04-29 07:37:55,523 - INFO - ✅ CEP 07400365 atualizado para 07402790: Rio de Janeiro, Jardim Real (IBGE: 350390)
2025-04-29 07:37:55,811 - INFO - ✅ CEP 07402800 atualizado: São Paulo, Jardim Real (IBGE: 350390)
2025-04-29 07:37:56,207 - INFO - ✅ CEP 07404135 atualizado: Serra dos Canudos, Mirante Do Arujá (IBGE: 350390)
2025-04-29 07:37:56,491 - INFO - ✅ CEP 07405460 atualizado: Arapongas, Jardim Pinheiro (IBGE: 350390)
2025-04-29 07:37:56,800 - INFO - ✅ CEP 07432580 atualizado: Sango Matsuzaki, Jardim Das Cerejeiras (IBGE: 350390)
2025-04-29 07:37:57,094 - INFO - ✅ CEP 07404170 atualizado: Serra dos Carajás, Mirante Do Arujá (IBGE: 350390)
2025-04-29 07:37:57,350 - INFO - ✅ CEP 07439250 atualizado: dos Guarantãs, Granjas Urupes (IBGE: 350390)
2025-04-29 07:37:57,729 - INFO - ✅ CEP 07403120 atualizado: Leocádio Mendonça, Arujamérica (IBGE: 350390)
2025-04-29 07:37:58,022 - INFO - ✅ CEP 07401110 atualizado: Nanci Araki, Arujá Center Ville (IBGE: 350390)
2025-04-29 07:37:58,330 - INFO - ✅ CEP 07432465 atualizado: dos Jambeiros, Recanto Primavera (IBGE: 350390)
2025-04-29 07:37:58,605 - INFO - ✅ CEP 07400395 atualizado: Havana, Jardim Rincão (IBGE: 350390)
2025-04-29 07:37:58,880 - INFO - ✅ CEP 07435610 atualizado: Maranhão, Arujázinho I, Ii E Iii (IBGE: 350390)
2025-04-29 07:37:59,160 - INFO - ✅ CEP 07435570 atualizado: Pernambuco, Arujázinho I, Ii E Iii (IBGE: 350390)
2025-04-29 07:37:59,451 - INFO - ✅ CEP 07401085 atualizado: Aires Monteiro, Arujá Center Ville (IBGE: 350390)
2025-04-29 07:37:59,725 - INFO - ✅ CEP 07417170 atualizado: Luiza de Faria Martins Guimarães, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:38:00,002 - INFO - ✅ CEP 07417140 atualizado: Umbelina Ferreira Barbosa, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:38:00,291 - INFO - ✅ CEP 07402185 atualizado: Pará, Jardim Planalto (IBGE: 350390)
2025-04-29 07:38:00,656 - INFO - ✅ CEP 07411410 atualizado: Nossa Senhora de Fátima, Cidade Nova Arujá (IBGE: 350390)
2025-04-29 07:38:01,195 - INFO - ✅ CEP 07403010 atualizado: Antonio Francisco de Lima, Arujamérica (IBGE: 350390)
2025-04-29 07:38:01,557 - INFO - ✅ CEP 07405440 atualizado: Jacutinga, Jardim Pinheiro (IBGE: 350390)
2025-04-29 07:38:01,874 - INFO - ✅ CEP 07414440 atualizado: Dona Adília Rodrigues da Silva, Fontes (IBGE: 350390)
2025-04-29 07:38:02,202 - INFO - ✅ CEP 07438729 atualizado: José de Carvalho, Estância Pacaembu (IBGE: 350390)
2025-04-29 07:38:02,480 - INFO - ✅ CEP 07417010 atualizado: Amélia Gomes Barbosa, Fazenda Velha (IBGE: 350390)
2025-04-29 07:38:02,808 - INFO - ✅ CEP 07402005 atualizado: Necy Monteiro D'Aquila, Jardim Renata (IBGE: 350390)
2025-04-29 07:38:03,271 - INFO - ✅ CEP 07400795 atualizado: Benjamin de Jesus Rodrigues, Arujá Centro Residencial (IBGE: 350390)
2025-04-29 07:38:03,599 - INFO - ✅ CEP 07401785 atualizado: Maria Helena, Vila Ferreira (IBGE: 350390)
2025-04-29 07:38:03,888 - INFO - ✅ CEP 07435605 atualizado: Ceará, Arujázinho I, Ii E Iii (IBGE: 350390)
2025-04-29 07:38:05,361 - INFO - ✅ CEP 07432550 atualizado para 07432055: Clementina, Jardim Emília (IBGE: 350390)
2025-04-29 07:38:05,721 - INFO - ✅ CEP 07414430 atualizado: Fatec, Fontes (IBGE: 350390)
2025-04-29 07:38:06,159 - INFO - ✅ CEP 07417130 atualizado: Benedito Martins Guimarães, Parque Rodrigo Barreto (IBGE: 350390)
